Name,Price,Used For,Transmisson,Colour,Make Year,Mileage,Engine (CC),Fuel,Kilometer Run,Waranty,Types
Hyundai | i20 Active S | TDi | 2015 | Hatchback (Hyundai),"रू. 24,75,000रू. 25,00,000",Private Use,Manual2WD,Brown,2015,14,1400,Petrol,42000,,
Excellent car on sale (Hyundai),"रू. 7,50,000",,Auto2WD,Light blue,2005,11,1399,Petrol,87412,,
TATA 407 Container (Tata),"रू. 7,00,000",,Manual - 2WD,White,2013,,2956,Diesel,60000,,
4x4 swaraj Mazda (Mahindra),"रू. 6,00,000",,Manual - 4WD,,2017,,,Diesel,,,
i20 Active good for used few time (Hyundai),रू. 375,,Auto - 2WD,white,2019,17,1200,Petrol,2400,,
Tata Sumo Gold 2014 GX (Tata),"रू. 14,00,000",,Manual2WD,Artic Silver,2014,12,2956cc,Diesel,,,
Mega XL hatti gadi (Tata),"रू. 7,00,000",,Auto2WD,Brown chocolate colour,2019,15,889,Petrol,80000,,
Maruti Suzuki Alto 2004 On Sale (Maruti Suzuki),"रू. 5,80,000",,Manual - 2WD,Black,2004,,800,Petrol,75000,,
Grand i10 magna 2014 (Hyundai),"रू. 18,45,000",,Manual2WD,Silver,2014,,1200,Petrol,31000,,
Blue colour 2016 model Baleno (Maruti Suzuki),"रू. 20,50,000",private,Auto4WD,blue,2016,17/18 km,1200,Petrol,41000,chaa.,
WagonR Sell or Rent (Maruti Suzuki),"रू. 10,25,000",,Manual2WD,,2008,20,,Petrol,43000,,
2010 model red color santro zinc for sale (Hyundai),"रू. 13,50,000",personal,Manual - 4WD,red,2010,,1100,Petrol,4200,,
Mahindra cabking (Mahindra),"रू. 12,50,000",,Manual2WD,,2018,,,Diesel,,,
2011 model ko kia sportage sales & exchange offer (Kia),"रू. 32,50,000",,Manual - 4WD,,2011,,,Diesel,,,
"2015 model bolero 7 seater 4wd,powerstering sale (Mahindra)","रू. 19,50,000",,Manual4WD,Silver grey,2015,,2500,Diesel,65000,,
बैंक सुबिधा भएको सस्तो कार सङ्ग पनि सट्टा पट्टा (Mahindra),"रू. 32,00,000",like new,Manual - 2WD,silver,2019,15,2100,Electric,61000,no,
Hyundai I20 Active Diesel 2015 (Hyundai),"रू. 25,00,000",,Manual2WD,Earth Brown,2015,14+,1400,Diesel,42000,,
Isuzu Vcross 2019 (Other Brands),"रू. 51,00,000",,Manual - 4WD,white,2019,,2499,Diesel,51000,,
Mg Zs Ev 2021 On Sale (Other Chinese Brands),"रू. 53,00,000",1 year,Auto - 2WD,Red,2021,300,105,Electric,12200,7 uears,
Niro (Kia),"रू. 58,00,000",,Auto2WD,White,2019,,,Electric,9000,,
Hyundai i10 Magna 1.2 2010 model (Hyundai),"रू. 13,50,000",,Manual - 2WD,Champagne golden,2010,,,Petrol,,,
Like a Brand New Grand i10 sports 0 Push Bottom (Hyundai),"रू. 23,50,000",,Manual - 2WD,passion red,2017,14,1197,Petrol,7000,,
Fore Sale Grand I10 Magna (Hyundai),"रू. 18,50,000",1,Manual - 2WD,Silver,2014,14,1200,Petrol,45000,No,
Kia Rio 2011 Model Best Condition (Kia),"रू. 14,30,000",,Manual - 2WD,Clear white,2011,18,1399,Petrol,59000,,
Hundai Grend I 10 2019 model Sportz (Hyundai),"रू. 26,00,000",3 years,Manual - 2WD,grey,2019,13,1200,Petrol,18300,no,
Hyundai Creta | Model - 2017 | Diesel (Hyundai),"रू. 37,50,000",-,Manual2WD,Polar White,2017,21.4,1582,Diesel,42000,-,
TATA BOLT RT XM (Tata),"रू. 17,80,000",,Manual - 2WD,white,2017,,1193,Petrol,,,
Santro 2010 (Hyundai),"रू. 13,60,000",,Manual - 2WD,Silver,2010,15,1100,Petrol,53000,,
urgent sell (Tata),"रू. 9,50,000",,Auto - 2WD,silver,2013,10,1400,Petrol,,,
Car on sale (Maruti Suzuki),"रू. 26,50,000",Private,Manual2WD,Grey,2017,18/20,1200,Petrol,29000,Yes,
Toyota hilux revo 2018 sell or exchange (Toyota),"रू. 78,50,000",Private,Manual4WD,Sleek silver,2018,12,2.8,Diesel,42000,,
Datsun Go on sale (Datsun),"रू. 12,75,000",5 years,Manual - 2WD,light Blue,2016,16,1200,Petrol,48000,thank you,
Nissan navara le (Nissan),"रू. 24,00,000",private,Manual - 4WD,dark red,2010,10,2500,Diesel,75000,no warranty,
Sentro fresh condition (Hyundai),"रू. 13,00,000",Home,Auto2WD,Blue,2009,18/20,1086,Petrol,80000,Not,
Ford Ecosport for sale (Ford),"रू. 29,50,000",5 years,Manual2WD,Space grey,2017,17,1500,Petrol,26000,No warannty,
One Week Offer Price Fiat Avventura Dynamic 2016.. (Fiat),"रू. 15,50,077",,Manual2WD,Exo - Red,2016,,1368,Petrol,57000,,
Hyundai Venue 2021 like Brand new on Sale (Hyundai),"रू. 35,25,000",1 year,Manual2WD,White,2021,18,1200,Petrol,13750,Company warranty,
Scorpio S4+ (Mahindra),"रू. 34,50,000",Prasnal,Auto - 4WD,Silbhar,2016,,,Diesel,750840,,
FORD IKON FULL OPTION FRESH N SMOOTH (Ford),"रू. 5,50,000",10,Manual - 2WD,grey,2003,15,1299,Petrol,52000,non,
Ford Figo (Trend) (Ford),"रू. 15,00,000",6 years,Manual2WD,Off white,2016,14,1200,Petrol,70000,No,
"Fully fresh, excellent condition, tax cleared (Hyundai)","रू. 6,40,000",,Manual2WD,,2002,,1086,Petrol,,,
Kia sportage AWD 8air bag fully looded for sale (Kia),"रू. 32,50,000",12 years,Manual - 4WD,chocolate gry,2011,13,2000,Diesel,67000,no,
car sell (Nissan),"रू. 5,50,000",,Auto - 2WD,,1997,,,Diesel,,,
2023 Nissan Magnite XE (Nissan),"रू. 33,99,000",,Manual - 2WD,Brown,2023,,999,Petrol,,,
Spark (Chevrolet),"रू. 5,75,000",home office,Manual - 2WD,golden,2007,12,,Petrol,,,
i20 activeS2016 just like brand new exchange offer (Hyundai),"रू. 28,50,000",,Manual - 2WD,,2017,,,Petrol,38000,,
wagonar bikrima (Maruti Suzuki),"रू. 10,50,000",13,Manual - 2WD,Red,2010,15,1086,Petrol,75000,No,
santro bikrima (Hyundai),"रू. 10,50,000",16,Manual - 2WD,white,2007,14,1086,Petrol,71000,No,
ZEN 2006 (Maruti Suzuki),"रू. 7,49,000",,Manual - 4WD,Silkie Silver,2006,16,1000,Petrol,74000,,
Creta SX 2019 Like new (Hyundai),"रू. 43,00,000",32 months,Manual2WD,White,2019,14,1600,Petrol,24000,,
Wagon R 2009 (Maruti Suzuki),"रू. 8,95,000",,Manual - 2WD,,2009,,,Petrol,,,
2010 i 10 MAGNA (Hyundai),"रू. 14,00,000",,Manual - 2WD,blue,2010,,1200,Petrol,39888,,
Hyundai Accent 2006 Narayani Number (Hyundai),"रू. 5,50,000",,Manual - 2WD,,2006,17,1400,Petrol,,,
Honda Jazz 2016 model (Honda),"रू. 23,50,000",6 years,Manual2WD,White,2016,,1200,Petrol,34200,,
maruti suzuki ZEN LX (Maruti Suzuki),"रू. 4,75,000",1,Auto - 2WD,silver,2002,18,1000,Petrol,70000,,
